"","Site","MaPP_region","Date","Year","Month","Salinity","Temperature","Latitude","Longitude","date_diff","group"
"94","Bonilla Island","North Coast",2019-04-04,2019,4,31.2,8,53.4928,-130.636,1,1
"95","Bonilla Island","North Coast",2019-04-05,2019,4,31.3,8,53.4928,-130.636,1,1
"96","Bonilla Island","North Coast",2019-04-06,2019,4,31.2,8,53.4928,-130.636,1,1
"97","Bonilla Island","North Coast",2019-04-07,2019,4,31.4,9.2,53.4928,-130.636,1,1
"98","Bonilla Island","North Coast",2019-04-08,2019,4,31,7.9,53.4928,-130.636,1,1
"99","Bonilla Island","North Coast",2019-04-09,2019,4,31.1,8.1,53.4928,-130.636,1,1
"100","Bonilla Island","North Coast",2019-04-10,2019,4,31.1,8.7,53.4928,-130.636,1,1
"101","Bonilla Island","North Coast",2019-04-11,2019,4,31.2,9,53.4928,-130.636,1,1
"102","Bonilla Island","North Coast",2019-04-12,2019,4,31.2,9.6,53.4928,-130.636,1,1
"103","Bonilla Island","North Coast",2019-04-13,2019,4,30.2,7.8,53.4928,-130.636,1,1
"104","Bonilla Island","North Coast",2019-04-14,2019,4,31.1,8.1,53.4928,-130.636,1,1
"105","Bonilla Island","North Coast",2019-04-15,2019,4,31.2,8.2,53.4928,-130.636,1,1
"106","Bonilla Island","North Coast",2019-04-16,2019,4,31.2,8.1,53.4928,-130.636,1,1
"107","Bonilla Island","North Coast",2019-04-17,2019,4,30.9,8,53.4928,-130.636,1,1
"108","Bonilla Island","North Coast",2019-04-18,2019,4,30.8,8.4,53.4928,-130.636,1,1
"109","Bonilla Island","North Coast",2019-04-19,2019,4,31.2,8.4,53.4928,-130.636,1,1
"110","Bonilla Island","North Coast",2019-04-20,2019,4,31.4,8.5,53.4928,-130.636,1,1
"111","Bonilla Island","North Coast",2019-04-21,2019,4,31.2,8.3,53.4928,-130.636,1,1
"112","Bonilla Island","North Coast",2019-04-22,2019,4,31.1,9.3,53.4928,-130.636,1,1
"113","Bonilla Island","North Coast",2019-04-23,2019,4,31.2,8.8,53.4928,-130.636,1,1
"114","Bonilla Island","North Coast",2019-04-24,2019,4,31.2,8.9,53.4928,-130.636,1,1
"115","Bonilla Island","North Coast",2019-04-25,2019,4,31.2,9,53.4928,-130.636,1,1
"116","Bonilla Island","North Coast",2019-04-26,2019,4,31.1,9.1,53.4928,-130.636,1,1
"117","Bonilla Island","North Coast",2019-04-27,2019,4,31.2,8.2,53.4928,-130.636,1,1
"118","Bonilla Island","North Coast",2019-04-28,2019,4,31.2,9,53.4928,-130.636,1,1
"119","Bonilla Island","North Coast",2019-04-29,2019,4,31,9,53.4928,-130.636,1,1
"120","Bonilla Island","North Coast",2019-04-30,2019,4,30.9,9.3,53.4928,-130.636,1,1
"121","Bonilla Island","North Coast",2019-05-01,2019,5,31.2,8.6,53.4928,-130.636,1,1
"122","Bonilla Island","North Coast",2019-05-02,2019,5,31.2,8.6,53.4928,-130.636,1,1
"123","Bonilla Island","North Coast",2019-05-03,2019,5,30.6,8.2,53.4928,-130.636,1,1
"124","Bonilla Island","North Coast",2019-05-04,2019,5,31.8,8.7,53.4928,-130.636,1,1
"125","Bonilla Island","North Coast",2019-05-05,2019,5,31.2,9.1,53.4928,-130.636,1,1
"126","Bonilla Island","North Coast",2019-05-06,2019,5,31,8.9,53.4928,-130.636,1,1
"127","Bonilla Island","North Coast",2019-05-07,2019,5,31.2,9.8,53.4928,-130.636,1,1
"128","Bonilla Island","North Coast",2019-05-08,2019,5,31.3,9.4,53.4928,-130.636,1,1
"129","Bonilla Island","North Coast",2019-05-09,2019,5,31.4,10,53.4928,-130.636,1,1
"130","Bonilla Island","North Coast",2019-05-10,2019,5,31.2,9.8,53.4928,-130.636,1,1
"131","Bonilla Island","North Coast",2019-05-11,2019,5,31.4,9.3,53.4928,-130.636,1,1
"132","Bonilla Island","North Coast",2019-05-12,2019,5,31.5,9.2,53.4928,-130.636,1,1
"133","Bonilla Island","North Coast",2019-05-13,2019,5,31.5,9.1,53.4928,-130.636,1,1
"134","Bonilla Island","North Coast",2019-05-14,2019,5,31.1,8.1,53.4928,-130.636,1,1
"135","Bonilla Island","North Coast",2019-05-15,2019,5,31.1,9.4,53.4928,-130.636,1,1
"136","Bonilla Island","North Coast",2019-05-16,2019,5,31.3,9.1,53.4928,-130.636,1,1
"137","Bonilla Island","North Coast",2019-05-17,2019,5,31.3,9.4,53.4928,-130.636,1,1
"138","Bonilla Island","North Coast",2019-05-18,2019,5,31.2,9.7,53.4928,-130.636,1,1
"139","Bonilla Island","North Coast",2019-05-19,2019,5,30.9,9.8,53.4928,-130.636,1,1
"140","Bonilla Island","North Coast",2019-05-20,2019,5,31.3,9.6,53.4928,-130.636,1,1
"141","Bonilla Island","North Coast",2019-05-21,2019,5,31.5,9.9,53.4928,-130.636,1,1
"142","Bonilla Island","North Coast",2019-05-22,2019,5,31.1,10.1,53.4928,-130.636,1,1
"143","Bonilla Island","North Coast",2019-05-23,2019,5,31.3,10.1,53.4928,-130.636,1,1
"144","Bonilla Island","North Coast",2019-05-24,2019,5,31.3,9.8,53.4928,-130.636,1,1
"145","Bonilla Island","North Coast",2019-05-25,2019,5,31.2,9.8,53.4928,-130.636,1,1
"146","Bonilla Island","North Coast",2019-05-26,2019,5,31.2,9.8,53.4928,-130.636,1,1
"147","Bonilla Island","North Coast",2019-05-27,2019,5,31.1,9.6,53.4928,-130.636,1,1
